                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 c4h2    phosec  c2h     c2h                    1.73E+03  0.00     0.00   2 ! 10 41000 -  osu2005
jan11 c2s     phosec  s       c2                     1.88E+03  0.00     0.00   2 ! 10 41000 -  udfa06 Ref
jan11 c2s     phosec  cs      c                      1.88E+03  0.00     0.00   2 ! 10 41000 -  udfa06 Ref
jan11 c3h3    phosec  c-c3h2  h                      2.50E+03  0.00     0.00   2 ! 0     0 -  --osu2005 REACxNUM  154
jan11 c3h3    phosec  h2c3    h                      2.50E+03  0.00     0.00   2 ! 0     0 -  --osu2005 REACxNUM  155
jan11 ch2     phosec  ch2+    electr                 6.26E+02  0.00     0.00   2 ! 10 41000 -  udfa06
jan11 c2h     phosec  c2h+    electr                 6.25E+03  0.00     0.00   2 ! 10 41000 -  udfa06
jan11 c2h3    phosec  c2h3+   electr                 1.88E+03  0.00     0.00   2 ! 10 41000 -  udfa06
jan11 c4h2    phosec  c4h2+   electr                 1.40E+03  0.00     0.00   2 ! 10 41000 -  udfa06
jan11 hco     phosec  hco+    electr                 1.46E+03  0.00     0.00   2 ! 10 41000 -  udfa06
jan11 hnc     phosec  cn      h                      3.75E+03  0.00     0.00   2 ! 10 41000 -  udfa06 Ref GL89
jan11 hno     phosec  no      h                      1.25E+03  0.00     0.00   2 ! 10 41000 -  udfa06 Ref
jan11 hno     phosec  hno+    electr                 1.00E+03  0.00     0.00   2 ! 0     0 -  --OSU2005 REACxNUM   84
jan11 h2cs    phosec  cs      h2                     1.88E+03  0.00     0.00   2 ! 10 41000 -  udfa06 Ref
jan11 p-c3h4  phosec  c3h3    h                      3.28E+03  0.00     0.00   2 ! 0     0 -  --osu2005
jan11 p-c3h4  phosec  p-c3h4+ electr                 5.30E+03  0.00     0.00   2 ! 0     0 -  --osu2005
jan11 a-c3h4  phosec  c3h3    h                      3.28E+03  0.00     0.00   2 ! 0     0 -  --osu2005
jan11 a-c3h4  phosec  a-c3h4+ electr                 5.30E+03  0.00     0.00   2 ! 0     0 -  --osu2005
  -                   -
  -                   - radiative and dielectronic recombination of atomic ions
  -                   -
 1 80 h+      electr  h       photon                 3.61e-12  -.75     0.00   3 !
 1 80 he+     electr  he      photon                 4.50e-12  -.67     0.00   3 !
 1 80 c+      electr  c       photon                 4.40e-12  -.61     0.00   3 !
 1 80 n+      electr  n       photon                 3.80e-12 -0.62     0.00   3 !
p & h o+      electr  o       photon                 3.40e-12  -.64     0.00   3 !
p & h s+      electr  s       photon                 3.90e-12  -.63     0.00   3 !
 1 80 fe+     electr  fe      photon                 3.70e-12  -.65     0.00   3 !
  -                   -
  -                   - radiative association reactions
  -                   -
jan11 ch3+    electr  ch3     photon                 1.10E-10  -.50      .00   3 !    10   300 -  udfa06 Ref
jan11 h2co+   electr  h2co    photon                 1.10E-10  -.70      .00   3 !    10   300 -  udfa06 Ref
jan11 h2s+    electr  h2s     photon                 1.10E-10  -.70      .00   3 !    10   300 -  udfa06 Ref
jan11 h2cs+   electr  h2cs    photon                 1.10E-10  -.70      .00   3 !    10   300 -  udfa06 Ref
jan11 h       h       h2      photon                 4.00E-27   .00      .00   3 !   100   100 -  1964MAL
jan11 c       h       ch      photon                 1.00E-17   .00      .00   3 !    10   300 -  udfa06
jan11 c       h2      ch2     photon                 2.00E-20 -1.00      .00   3 !    10   300 -  KIDA critical evaluation (estimate)
jan11 ch      h2      ch3     photon                 2.90E-17  -.66      .00   3 !    10    80 -  1997BRO
jan11 c       c       c2      photon                 4.36E-18   .35   161.00   3 !    10 41000 -  udfa06
jan11 c       c2      c3      photon                 3.00E-16 -1.00      .00   3 !     0     0 -  2009WAK
jan11 c       c3      c4      photon                 4.00E-14 -1.00      .00   3 !     0     0 -  2009WAK
jan11 o       o       o2      photon                 4.90E-20  1.58      .00   3 !    10   300 -  udfa06
